id,actual_index,display_index,display_figure,overlap,estimated_location,estimation_error,judge,item,rt,drew_from,right_location_line,right_location_bar
1,70,190,RHBM,0,52.8359,23.8129,bar,both,2.0186,top,105.7889,29.023
1,93,179,RMBL,0,48.1172,21.5329,bar,both,1.8325,top,94.1875,26.5843
1,68,174,RMBL,0,47.168,20.9275,bar,both,1.8664,top,92.5319,26.2405
1,67,178,RMBH,0,59.293,20.2511,bar,both,1.6823,top,98.4691,39.0419
1,74,109,RMBM,0,50.625,19.5068,bar,both,2.1189,top,91.7274,31.1182
1,106,129,RLBM,0,51.7305,18.6782,bar,both,2.0016,top,85.9859,33.0523
1,62,169,RMBH,0,55.1289,18.3579,bar,both,2.2205,bottom,96.0059,36.771
1,64,63,RMBM,0,52.3789,18.3122,bar,both,2.0677,top,92.3874,34.0667
1,90,181,RHBM,0,52.2734,18.1982,bar,both,2.4227,top,106.8694,34.0752
1,173,149,BL,1,43.957,18.0989,bar,one,2.2878,top,0,25.8581
1,114,165,RMBM,0,51.0273,17.8042,bar,both,2.2879,top,95.4985,33.2231
1,72,176,RMBH,0,54.4844,17.6643,bar,both,1.5129,top,93.4797,36.8201
1,84,146,RMBM,0,49.7617,17.4077,bar,both,1.8313,bottom,95.5264,32.354
1,119,49,RMBM,0,49.1172,17.1635,bar,both,2.4553,top,96.6692,31.9537
1,96,135,RLBM,0,48.3633,17.0275,bar,both,2.085,top,80.1082,31.3358
1,66,118,RLBM,0,46.8516,16.9997,bar,both,2.1858,top,79.2669,29.8519
1,180,72,BH,1,57.1875,16.5096,bar,one,2.2185,top,0,40.6779
1,91,86,RLBM,0,50.6797,16.4304,bar,both,2.0683,top,82.0633,34.2493
1,100,138,RHBM,0,45.3086,16.3369,bar,both,1.866,top,106.8213,28.9717
1,179,62,BL,1,40.9883,16.2496,bar,one,1.5629,bottom,0,24.7387
1,71,83,RLBM,0,51.2734,16.1526,bar,both,2.0344,top,86.0766,35.1208
